cell	Tier	Description	Lineage	Tissue	Karyotype	Sex	Documents	Vendor.ID	Term.ID	Label
GM12878	1	B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus	mesoderm	blood	normal	F	ENCODE  	Coriell GM12878	BTO:0002062	GM12878
H1-hESC	1	embryonic stem cells	inner cell mass	embryonic stem cell	normal	M	ENCODE  	WiCell Research Institute WA01	CL:0000007	H1-hESC
K562	1	leukemia, "The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises." - ATCC	mesoderm	blood	cancer	F	ENCODE  	ATCC CCL-243	BTO:0000664	K562
A549	2	epithelial cell line derived from a lung carcinoma tissue. (PMID: 175022), "This line was initiated in 1972 by D.J. Giard, et al. through explant culture of lung carcinomatous tissue from a 58-year-old caucasian male." - ATCC, newly promoted to tier 2: not in 2011 analysis	endoderm	epithelium	cancer	M	Myers	ATCC CCL-185	BTO:0000018	A549
CD20+	2	B cells from donors RO01778 and RO01794, newly promoted to tier 2: not in 2011 analysis	mesoderm	blood	normal	F	Stam  	Dr. Heimfeld Lab at FHCRC CD20+	BTO:0000776	B-cells CD20+
CD20+_RO01778	2	B cells, caucasian, draw number 1, newly promoted to tier 2: not in 2011 analysis	mesoderm	blood	normal	F	Stam  	Rajinder Kaul, UW CD20+_RO01778	BTO:0000776	B-cells CD20+ (RO01778)
CD20+_RO01794	2	B cells, African American, draw number 1, newly promoted to tier 2: not in 2011 analysis	mesoderm	blood	normal	F	Stam  	Rajinder Kaul, UW CD20+_RO01794	BTO:0000776	B cells CD20+ RO01794
H1-neurons	2	neurons derived from H1 embryonic stem cells, newly promoted to tier 2: not in 2011 analysis	ectoderm	neurons	normal	M	Cellular Dynamics International Batch 1	CDI TBD	BTO:0000938	H1-neurons
HeLa-S3	2	cervical carcinoma	ectoderm	cervix	cancer	F	ENCODE	ATCC CCL-2.2	BTO:0000568	HeLa-S3
HepG2	2	hepatocellular carcinoma	endoderm	liver	cancer	M	ENCODE  	ATCC HB-8065	BTO:0000599	HepG2
HUVEC	2	umbilical vein endothelial cells	mesoderm	blood vessel	normal	U	ENCODE  	Lonza CC-2517	BTO:0001949	HUVEC
IMR90	2	fetal lung fibroblasts, newly promoted to tier 2: not in 2011 analysis	endoderm	lung	normal	F	Stam  	ATCC CCL-186	BTO:0001229	IMR90
LHCN-M2	2	skeletal myoblasts derived from satellite cells from the pectoralis major muscle of a 41 year old caucasian heart transplant donor, immortalized with lox-hygro-hTERT ("LH"), and Cdk4-neo ("CN"), Zhu et al. (2007) in Aging Cell, vol. 6, pp 515-523, newly promoted to tier 2: not in 2011 analysis.	mesoderm	skeletal muscle myoblast		M	Wold  	Dr. Woodring Wright Missing	BTO:0005046	LHCN-M2
MCF-7	2	mammary gland, adenocarcinoma. (PMID: 4357757), newly promoted to tier 2: not in 2011 analysis	ectoderm	breast	cancer	F	Crawford	ATCC HTB-22	BTO:0000093	MCF-7
Monocytes-CD14+	2	Monocytes-CD14+ are CD14-positive cells from human leukapheresis production, from donor RO 01746 (draw 1 ID is RO 01746, draw 2 ID is RO 01826), newly promoted to tier 2: not in 2011 analysis	mesoderm	monocytes	normal	F	Stam  	S. Heimfeld Laboratory, FHCRC Monocytes-CD14+	BTO:0000876	Monocytes CD14+
Monocytes-CD14+_RO01746	2	Monocytes-CD14+ are CD14-positive cells from human leukapheresis production, from donor RO 01746 (draw 1 ID is RO 01746, draw 2 ID is RO 01826), Monocytes-CD14+_RO01746 and Monocytes-CD14+_RO01826 are being used as replicates, newly promoted to tier 2: not in 2011 analysis	mesoderm	monocytes	normal	F	Stam  	S. Heimfeld Laboratory, FHCRC Monocytes-CD14+_RO01746	BTO:0000876	Monocytes CD14+ RO01746
Monocytes-CD14+_RO01826	2	Monocytes-CD14+ are CD14-positive cells from human leukapheresis production, Monocytes-CD14+_RO01826 is a second draw being used as a replicate for Monocytes-CD14+_RO01746, newly promoted to tier 2: not in 2011 analysis	mesoderm	monocytes	normal	F	Stam  	S. Heimfeld Laboratory, FHCRC Monocytes-CD14+_RO01826	BTO:0000876	Monocytes CD14+ RO01826
SK-N-SH	2	neuroblastoma, newly promoted to tier 2: not in 2011 analysis, the SK-N-SH line was established from a neuroblastoma in a 4 year old individual.	ectoderm	brain	cancer	F	Myers  	ATCC HTB-11	BTO:0001620	SK-N-SH
8988T	3	pancreas adenocarcinoma (PA-TU-8988T), "established in 1985 from the liver metastasis of a primary pancreatic adenocarcinoma from a 64-year-old woman" - DSMZ	endoderm	liver	cancer	F	Crawford  	DSMZ ACC 162	BTO:0001521 (non-specific)	8988T
Adult_CD4_naive	3	CD4+ cells isolated from human blood and enriched for naive populations	mesoderm	blood	normal	B	Crawford Stam  	Dr. David Randolph at University of Alabama, Birmingham Adult_CD4_naive	BTO:0000782	T cells CD4+ naive adult
Adult_CD4_Th0	3	CD4+ cells isolated from human blood and enriched for Th0 populations	mesoderm	blood	normal	B	Crawford  	Dr. David Randolph at University of Alabama, Birmingham Adult_CD4_Th0	BTO:0000782	T cells CD4+ Th0 adult
